Code,Area,Year ending Dec 1995,Year ending Mar 1996,Year ending Jun 1996,Year ending Sep 1996,Year ending Dec 1996,Year ending Mar 1997,Year ending Jun 1997,Year ending Sep 1997,Year ending Dec 1997,Year ending Mar 1998,Year ending Jun 1998,Year ending Sep 1998,Year ending Dec 1998,Year ending Mar 1999,Year ending Jun 1999,Year ending Sep 1999,Year ending Dec 1999,Year ending Mar 2000,Year ending Jun 2000,Year ending Sep 2000,Year ending Dec 2000,Year ending Mar 2001,Year ending Jun 2001,Year ending Sep 2001,Year ending Dec 2001,Year ending Mar 2002,Year ending Jun 2002,Year ending Sep 2002,Year ending Dec 2002,Year ending Mar 2003,Year ending Jun 2003,Year ending Sep 2003,Year ending Dec 2003,Year ending Mar 2004,Year ending Jun 2004,Year ending Sep 2004,Year ending Dec 2004,Year ending Mar 2005,Year ending Jun 2005,Year ending Sep 2005,Year ending Dec 2005,Year ending Mar 2006,Year ending Jun 2006,Year ending Sep 2006,Year ending Dec 2006,Year ending Mar 2007,Year ending Jun 2007,Year ending Sep 2007,Year ending Dec 2007,Year ending Mar 2008,Year ending Jun 2008,Year ending Sep 2008,Year ending Dec 2008,Year ending Mar 2009,Year ending Jun 2009,Year ending Sep 2009,Year ending Dec 2009,Year ending Mar 2010,Year ending Jun 2010,Year ending Sep 2010,Year ending Dec 2010,Year ending Mar 2011,Year ending Jun 2011,Year ending Sep 2011,Year ending Dec 2011,Year ending Mar 2012,Year ending Jun 2012,Year ending Sep 2012,Year ending Dec 2012,Year ending Mar 2013,Year ending Jun 2013,Year ending Sep 2013,Year ending Dec 2013,Year ending Mar 2014,Year ending Jun 2014,Year ending Sep 2014,Year ending Dec 2014,Year ending Mar 2015,Year ending Jun 2015,Year ending Sep 2015,Year ending Dec 2015,Year ending Mar 2016,Year ending Jun 2016,Year ending Sep 2016,Year ending Dec 2016,Year ending Mar 2017,Year ending Jun 2017,Year ending Sep 2017,Year ending Dec 2017
E09000021,Kingston upon Thames,"97,860","99,118","102,870","105,213","106,789","109,919","108,694","110,879","114,268","115,966","123,194","131,109","133,869","135,500","138,183","143,870","152,164","160,221","171,821","179,859","187,757","191,720","194,952","198,862","201,931","205,869","212,811","223,583","232,365","237,295","239,480","240,951","244,841","249,150","256,072","264,315","267,525","272,215","275,020","276,943","277,468","280,611","284,432","292,102","302,953","309,666","322,970","336,822","346,884","353,079","355,826","360,191","356,364","353,924","338,317","322,697","328,180","334,037","346,665","359,105","373,249","376,982","375,509","373,182","364,948","362,299","368,658","379,006","383,982","394,607","407,334","405,679","414,419","425,260","427,499","455,795","475,081","480,285","494,013","495,871","502,091","518,836","530,638","539,644","547,214","552,448","556,435","569,995","573,938"
E09000022,Lambeth,"79,654","81,693","86,693","90,559","95,723","97,525","101,149","104,761","106,315","110,641","116,290","122,188","127,297","129,671","132,957","141,422","147,147","153,399","162,909","170,785","180,931","188,181","198,281","206,979","212,198","215,687","219,407","226,830","232,540","237,245","237,323","238,101","237,940","240,307","246,223","250,940","254,231","255,795","259,074","261,912","268,878","273,853","280,393","289,175","293,653","301,781","313,027","330,535","340,604","348,025","348,892","342,439","342,138","337,445","332,003","326,431","336,758","343,297","354,098","364,889","366,963","366,782","368,651","373,812","377,944","381,969","388,767","391,889","398,776","405,495","407,100","415,890","437,456","467,143","506,103","527,246","538,040","536,969","524,321","543,859","554,122","565,824","578,989","581,325","588,579","588,824","598,022","606,993","616,126"
E09000023,Lewisham,"61,562","61,390","61,851","62,219","62,846","64,790","67,217","70,291","73,183","74,945","77,186","81,037","83,082","85,078","88,373","91,841","96,266","101,063","106,707","112,532","118,227","122,084","126,056","132,213","136,125","140,732","147,249","154,680","161,305","167,605","172,470","179,528","185,154","187,185","191,206","195,049","198,402","200,398","202,200","203,252","205,393","207,347","211,743","218,370","223,323","229,200","233,461","241,386","247,998","251,613","255,894","254,359","250,581","247,194","241,583","239,185","239,481","246,480","253,077","257,505","263,878","264,969","263,215","268,588","267,820","265,124","269,243","274,324","281,909","286,325","291,918","299,248","305,825","317,328","332,369","345,627","360,998","372,868","377,205","389,490","403,589","413,683","425,266","433,010","434,769","441,406","452,263","464,843","475,142"
E09000024,Merton,"96,344","97,326","98,930","101,355","103,989","105,153","107,475","111,618","113,866","120,142","125,785","130,714","136,021","137,431","144,604","155,181","162,996","170,873","177,675","182,337","186,627","194,247","195,325","201,089","204,604","205,113","214,757","226,403","234,692","239,482","243,406","242,451","246,892","250,967","259,842","272,145","277,341","286,626","289,099","283,598","283,600","280,881","287,210","297,004","303,443","321,657","337,209","358,282","374,834","379,810","381,204","373,098","369,174","360,161","340,168","350,717","361,132","376,058","399,083","414,252","433,780","432,129","432,363","445,778","437,253","421,790","428,081","418,027","424,513","445,755","455,122","469,707","473,134","478,460","489,128","516,913","537,708","554,910","561,600","559,727","571,363","581,611","590,516","584,853","587,371","595,194","610,873","622,631","638,519"
E09000025,Newham,"47,528","47,469","47,454","48,250","50,082","51,483","53,401","55,470","57,380","59,463","61,144","62,938","65,286","65,893","68,214","71,137","75,326","81,054","86,436","91,865","97,266","100,491","105,052","109,827","117,223","122,615","130,161","138,520","145,563","153,882","162,309","169,653","177,796","181,941","185,917","190,073","191,477","194,297","197,543","200,756","203,395","206,515","207,537","210,274","211,861","214,125","218,897","224,590","231,013","238,289","243,722","244,433","243,171","236,491","214,784","208,002","206,115","207,346","211,533","216,274","219,872","217,661","215,982","214,189","214,915","216,634","217,100","217,715","218,974","223,269","225,678","229,431","233,074","236,939","246,343","258,766","269,497","279,697","291,813","301,916","319,348","332,891","342,723","351,770","370,476","385,116","399,914","408,103","409,477"
E09000026,Redbridge,"75,003","74,642","76,297","78,290","80,572","81,599","82,762","84,382","86,048","88,246","90,976","93,599","95,245","97,117","99,672","104,122","109,668","114,290","120,130","127,308","131,900","136,202","142,409","148,546","155,125","159,695","166,520","176,355","185,697","193,813","200,412","206,462","211,539","215,539","222,055","228,465","232,737","235,263","234,736","235,779","238,364","239,694","244,350","250,668","256,576","262,483","268,461","275,344","280,740","285,045","288,028","285,705","280,700","271,011","261,689","256,656","255,681","262,208","264,137","272,608","286,209","291,827","299,659","299,085","294,854","294,571","297,753","302,055","303,591","304,484","304,355","310,602","315,401","319,286","323,876","328,535","338,667","350,042","361,737","374,849","387,917","398,562","405,431","414,932","423,130","429,587","436,349","446,246","452,437"
E09000027,Richmond upon Thames,"138,737","141,172","142,240","149,004","150,296","152,568","158,326","165,749","172,729","179,404","185,260","193,949","201,779","208,368","216,038","226,948","237,840","245,476","258,744","274,628","284,503","291,387","292,059","299,912","300,995","303,566","309,607","314,195","324,221","331,227","340,908","344,508","346,906","351,207","363,392","375,033","383,815","388,498","392,415","391,170","392,783","399,639","401,703","419,930","434,585","448,625","468,302","494,969","510,950","517,383","520,946","515,515","508,911","504,190","489,576","477,884","508,409","523,607","538,002","551,143","550,796","551,477","556,449","570,095","570,178","569,936","581,650","578,245","590,459","598,295","610,496","638,325","644,778","657,522","680,308","703,304","730,459","743,646","743,074","754,025","754,191","772,074","774,663","776,471","775,357","780,110","798,328","807,647","819,044"
E09000028,Southwark,"84,677","84,119","84,623","85,625","87,617","89,780","94,895","99,397","103,515","107,542","112,762","116,950","121,755","125,327","126,721","135,335","142,789","150,198","160,921","171,580","184,697","192,996","202,504","207,358","209,574","210,746","213,760","218,207","221,727","226,887","229,420","235,119","240,345","240,734","246,804","250,317","252,682","258,667","260,600","268,108","273,515","273,274","277,340","281,820","289,173","299,248","310,412","323,684","332,738","336,992","336,419","334,725","328,055","325,587","325,480","328,390","338,570","349,598","357,391","370,741","376,688","383,983","386,916","396,801","400,980","395,247","406,827","405,335","415,796","419,837","425,673","431,743","441,747","454,455","470,323","501,088","518,144","535,907","547,127","559,003","583,065","607,715","623,542","624,573","643,858","651,179","662,741","667,660","641,210"
E09000029,Sutton,"76,952","76,047","76,122","77,043","79,561","81,473","82,908","85,119","88,169","90,807","94,426","97,863","100,413","102,553","105,576","108,881","113,447","117,278","123,746","131,068","138,136","144,099","147,035","151,108","153,408","155,900","162,870","170,053","177,432","183,933","190,311","194,447","197,763","198,117","201,023","207,607","212,522","217,030","220,537","224,050","225,682","229,339","232,054","233,211","239,235","241,763","246,238","254,492","261,248","265,513","271,116","267,693","259,375","249,612","237,782","239,943","239,794","246,460","251,180","256,173","264,951","264,252","266,686","266,756","267,042","268,678","268,853","270,504","272,250","275,048","279,230","283,753","286,681","291,217","297,183","310,500","322,434","330,233","338,644","347,086","358,826","368,930","376,758","383,561","387,585","391,484","393,962","397,079","402,121"
E09000030,Tower Hamlets,"76,933","77,991","79,620","84,703","88,715","94,478","100,381","105,043","110,807","113,115","118,614","122,802","129,367","134,143","140,888","152,536","159,999","163,782","176,660","183,803","190,411","198,941","201,106","205,432","208,596","210,666","213,808","217,653","222,708","226,996","231,764","234,073","237,860","238,258","245,398","255,378","260,847","267,612","269,490","268,045","265,639","264,846","266,700","271,840","281,493","290,478","305,772","320,586","333,393","341,251","341,044","339,403","328,379","320,260","316,859","321,488","333,797","340,224","341,441","348,806","345,385","344,494","345,302","340,546","345,026","341,807","348,210","351,651","355,588","357,936","361,379","370,252","383,842","406,121","423,749","439,575","445,319","446,399","450,292","462,677","483,423","501,531","514,842","520,480","524,508","527,413","531,270","545,749","554,009"
E09000031,Waltham Forest,"58,120","58,593","58,918","59,701","60,623","61,107","63,090","65,159","67,020","69,209","72,169","74,597","77,012","78,327","80,159","84,483","88,497","92,424","96,828","101,584","105,279","108,973","112,765","117,904","123,846","129,445","137,053","146,819","155,056","162,168","168,845","174,065","178,958","182,835","186,995","191,690","195,125","197,815","201,055","203,955","205,386","206,829","208,759","212,429","218,586","224,270","230,960","239,058","245,515","249,325","251,148","246,718","238,156","230,032","219,404","216,550","220,077","224,894","228,730","233,459","236,576","236,536","237,239","236,901","240,234","240,384","246,645","250,517","251,671","256,793","257,487","268,046","281,255","292,084","303,020","319,350","334,326","344,913","358,406","370,891","384,365","400,482","411,538","421,625","431,878","440,634","445,599","454,901","459,922"
E09000032,Wandsworth,"110,955","111,891","113,634","118,344","120,488","123,118","127,969","132,636","137,915","142,754","147,894","154,251","156,645","160,586","168,635","179,693","192,372","202,002","212,924","226,967","233,777","240,349","247,841","249,813","252,378","254,088","262,605","274,950","285,773","292,727","293,003","292,863","299,813","310,816","322,061","332,539","335,011","336,692","340,444","345,308","349,202","352,938","364,147","378,876","395,120","407,124","422,235","443,717","455,751","463,603","464,625","454,038","444,944","438,171","436,633","439,166","459,109","470,622","477,473","495,539","493,683","500,796","505,077","503,921","508,691","507,213","513,066","522,636","532,430","535,886","545,991","569,087","584,510","605,399","638,790","659,668","681,731","691,864","682,203","680,211","687,589","713,747","731,863","754,445","775,484","788,357","816,479","816,531","818,443"
E09000033,Westminster,"183,338","183,426","181,127","184,257","190,417","196,550","207,530","219,942","228,494","246,385","257,455","274,398","282,269","284,576","288,677","289,658","307,029","316,417","339,467","358,448","374,658","386,844","397,026","408,726","410,251","414,744","426,735","433,570","440,783","444,678","441,256","448,006","457,656","463,195","479,742","491,346","498,794","515,238","510,024","520,482","545,120","558,164","583,482","598,410","589,613","598,967","616,235","660,225","693,083","716,163","738,523","746,194","781,173","784,293","790,577","758,786","742,745","763,191","769,071","794,495","823,306","860,909","904,648","938,689","958,412","942,424","1,003,751","1,051,366","1,147,250","1,221,006","1,265,186","1,295,559","1,299,376","1,308,842","1,314,236","1,395,017","1,464,109","1,490,361","1,468,287","1,412,083","1,361,091","1,413,086","1,475,927","1,523,144","1,579,839","1,609,658","1,658,550","1,644,863","1,718,124"
E12000001,North East,"48,970","48,926","49,287","50,090","50,870","51,692","52,481","53,361","53,908","54,093","54,619","55,027","55,801","56,241","56,928","58,116","59,292","59,942","60,607","61,127","61,707","61,953","63,006","64,750","66,108","67,375","69,810","72,607","76,205","78,790","82,878","88,374","94,299","98,254","104,705","110,590","115,307","119,154","121,576","123,278","125,999","127,867","131,059","134,032","136,163","137,728","139,515","140,957","142,069","143,137","143,897","143,516","141,506","140,254","137,050","136,395","139,768","141,429","143,552","144,935","143,850","143,575","141,990","138,880","136,736","135,704","135,637","137,317","139,034","139,475","139,886","140,419","141,292","142,498","145,113","146,993","148,461","149,787","150,467","152,015","153,507","153,560","154,429","155,081","156,632","157,711","159,005","159,746","159,970"
E12000002,North West,"52,590","52,571","52,824","53,569","54,395","55,112","56,348","57,437","58,286","58,742","59,420","60,053","60,745","61,397","62,255","63,846","65,496","66,609","67,856","68,852","69,803","70,783","72,659","75,123","76,908","78,393","81,005","84,537","88,315","91,114","94,567","98,932","104,548","108,571","114,743","121,412","126,472","130,589","133,787","135,641","138,266","139,975","143,418","146,950","150,243","152,864","155,421","157,842","159,618","160,706","160,831","159,564","156,614","154,798","151,784","151,353","154,472","155,755","158,528","159,919","159,524","159,444","157,119","155,839","154,790","154,665","155,281","155,430","155,770","156,010","156,327","157,573","159,018","160,021","162,233","164,355","166,132","167,652","169,210","171,278","173,132","174,273","176,164","177,747","180,124","182,318","184,037","186,900","188,752"
E12000003,Yorkshire And The Humber,"52,937","52,908","53,182","53,774","54,601","55,103","56,206","57,029","57,496","58,000","58,200","58,860","59,368","59,795","60,774","62,155","63,661","64,590","65,775","66,939","68,170","68,850","70,322","72,078","73,680","75,484","78,505","82,383","86,821","90,240","94,702","99,913","105,636","109,539","115,798","122,342","127,314","131,268","133,847","136,039","138,764","140,597","144,026","147,299","150,387","152,219","154,738","157,163","158,900","160,332","160,805","158,860","155,602","153,585","149,210","149,911","153,359","156,157","159,456","161,454","161,184","159,955","158,225","156,898","155,417","155,459","156,288","156,178","157,006","156,711","156,751","157,849","159,205","160,301","162,169","163,740","165,671","166,800","168,371","170,963","173,139","174,495","176,337","177,686","179,891","181,857","183,832","185,882","186,433"
E12000004,East Midlands,"54,224","54,331","54,626","55,394","56,250","56,907","57,909","59,092","60,145","61,069","62,312","63,487","64,223","64,847","65,900","67,590","69,684","71,002","72,711","74,531","76,207","77,505","80,302","82,834","85,094","87,314","91,001","96,262","102,317","106,957","112,816","119,018","125,150","129,278","134,466","140,071","144,406","148,102","150,895","152,323","153,247","153,430","155,159","157,236","159,512","161,721","164,510","166,718","168,424","169,241","168,479","166,791","162,800","160,240","156,474","155,418","157,812","159,506","162,251","164,318","164,791","164,036","162,595","161,463","161,006","161,263","161,864","162,059","162,576","163,226","163,771","164,994","166,615","167,939","170,729","174,005","176,514","178,397","181,192","183,866","187,675","189,410","191,461","194,377","196,868","200,166","203,193","205,883","208,155"
E12000005,West Midlands,"59,057","58,971","59,331","60,062","61,111","62,024","63,441","64,745","65,716","66,588","67,643","68,971","70,196","70,977","72,411","74,644","76,742","78,369","80,233","81,945","84,010","85,640","88,547","91,644","94,235","96,353","100,051","105,543","111,134","115,638","120,423","125,158","130,793","134,486","139,756","146,451","150,859","154,283","156,869","157,268","158,311","159,559","162,055","165,441","168,532","170,064","172,048","173,725","175,153","176,405","176,356","174,775","171,291","169,192","165,551","165,645","167,326","170,182","173,406","175,762","177,929","176,400","175,451","173,382","171,740","171,766","171,808","172,321","173,283","174,326","174,786","176,266","178,030","178,964","181,488","184,333","187,311","189,419","191,942","194,696","197,017","197,764","200,097","202,364","205,464","209,330","211,928","214,476","216,589"
E12000006,East of England,"69,225","68,950","69,247","70,302","71,411","72,567","74,320","76,218","78,315","79,937","82,108","84,432","86,116","87,302","89,054","92,107","95,205","97,927","101,615","105,557","109,552","112,279","116,329","120,727","124,523","128,169","133,639","141,506","149,286","155,319","161,819","167,094","171,812","175,087","179,572","185,308","189,970","193,524","196,573","198,449","199,817","200,877","203,382","207,831","211,762","215,362","219,407","223,911","227,557","229,995","232,047","230,033","225,874","221,126","214,251","212,733","215,142","219,992","225,522","232,396","237,790","237,600","236,905","234,232","232,516","231,158","232,737","234,001","235,856","238,122","238,514","240,838","243,825","246,164","250,377","255,773","260,837","265,823","270,701","277,187","283,637","288,172","293,709","298,997","305,375","310,992","316,250","321,768","325,181"
E12000007,London,"97,628","97,991","99,642","102,800","105,337","108,004","111,926","115,952","119,761","123,897","127,787","132,074","135,009","137,447","142,265","150,189","158,324","165,768","174,520","181,541","188,703","192,726","196,786","202,906","204,829","208,415","215,699","224,616","233,259","238,409","241,726","245,450","250,629","255,249","262,824","269,508","274,021","279,418","282,882","286,899","290,202","294,002","300,616","308,852","315,956","323,572","331,540","344,107","352,750","357,300","362,173","360,583","361,738","361,560","355,925","356,838","362,673","374,197","382,763","396,907","408,107","415,140","420,502","422,289","421,278","412,587","421,525","427,854","437,523","450,439","454,541","465,464","473,780","482,600","497,386","512,662","525,204","532,465","532,483","536,415","545,352","565,119","573,386","576,028","586,093","584,697","600,043","613,104","620,074"
E12000008,South East,"82,309","82,492","83,351","84,805","86,110","87,471","89,446","91,843","94,318","96,592","99,777","103,456","106,179","107,942","110,937","115,459","119,748","123,890","129,362","135,146","140,957","144,282","148,756","153,360","156,452","159,553","164,943","173,160","181,320","187,273","193,386","198,607","203,045","206,340","211,447","217,717","222,446","226,222","228,764","230,186","231,476","232,880","236,399","241,776","246,776","250,882","256,024","262,438","267,566","271,199","273,902","271,754","267,494","261,777","253,678","251,709","253,991","261,126","269,141","278,034","284,693","284,835","283,740","281,602","280,150","276,818","279,269","281,580","284,558","288,255","288,588","289,908","292,367","294,889","299,000","306,069","311,819","315,496","319,921","325,090","331,847","338,245","343,812","349,331","354,874","360,927","366,382","371,890","374,182"
